Dataset,Paper Title,Year,Publisher,Paper Link,Project Link,Description,Size & Content,Indoor/Outdoor,Real/Synthetic,Modalities,No. Classes,Tasks,No. Papers,No. Benchmarks,Column1,checked?
HEV-I (Honda Egocentric View-Intersection Dataset),Egocentric Vision-based Future Vehicle Localization for Intelligent Driving Assistance Systems,2019,ICRA,https://arxiv.org/pdf/1809.07408v2,https//usa.honda-ri.com/hevi,introduced to enable research on traffic participants interaction modelling; future object localization; as well as learning driver action in challenging driving scenarios,230 video clips of real human driving in different intersections from the San Francisco Bay Area; collected using an instrumented vehicle equipped with different sensors including cameras; GPS/IMU; and vehicle states signals,outdoor,real,,,Trajectory Prediction,5,1,,
HM3D (Habitat-Matterport 3D),Habitat-Matterport 3D Dataset (HM3D): 1000 Large-scale 3D Environments for Embodied AI,2021,arXiv,https://arxiv.org/pdf/2109.08238v1,https//hub.com/facebookresearch/habitat-lab#HM3D,large-scale dataset of 1;000 building-scale 3D reconstructions from a diverse set of real-world locations. Each scene in the dataset consists of a textured 3D mesh reconstruction of interiors such as multi-floor residences; stores; and other private indoor spaces,1;000 building-scale 3D reconstructions from a diverse set of real-world locations; 112.5k m^2 of navigable space,indoor,real,,,Embodied AI,69,0,,
HM3DSem,Habitat-Matterport 3D Semantics Dataset,2023,CVPR,https://arxiv.org/pdf/2210.05633,https//aihabitat.org/datasets/hm3d-semantics/,dataset of semantically-annotated 3D indoor spaces,dense semantic annotations for 216 high-resolution; 3D; scanned scenes from the Habitat-Matterport 3D Dataset (HM3D). The HM3D scenes are annotated with 142;646 raw object names additionally mapped to the 40 Matterport 3D categories,indoor,real,,,Embodied AI (Home Robots; AI Assistants); Semantic Navigation,1,0,,
HOI(Hand-Object Interaction)-Synth,Are Synthetic Data Useful for Egocentric Hand-Object Interaction Detection,2024,ECCV,https://arxiv.org/pdf/2312.02672v3,https//fpv-iplab.hub.io/HOI-Synth/,The HOI-Synth benchmark extends three egocentric datasets designed to study hand-object interaction detection; EPIC-KITCHENS VISOR; EgoHOS; and ENIGMA-51; with automatically labeled synthetic data obtained through a novel HOI generation pipeline,A) EPIC-KITCHENS VISOR: 36 hours of egocentric videos from EPIC-KITCHENS-100; including 32;857 training images and pixel-wise annotations for 42;787 hand-object relations -> complemented with 30;259 synthetic images including 45;353 HOIs; B) EgoHOS: 8;107 egocentric training images of HOIs sparsely sampled from videos belonging to EGO4D; THU-READ; EPIC-KITCHENS; and other egocentric videos of people playing escape rooms -> labeled with pixel-wise annotations of 13;659 hand-object relations; complemented with 8;107 synthetic images including 12;129 HOIs; C) ENIGMA-51: egocentric dataset of subjects following instructions to repair electrical boards in an industrial laboratory. The dataset contains 3;479 training images with pixel-wise annotations of 13;659 hand-object interactions -> complemented with 2 sets of synthetic images: an in-domain set and an out-domain set,indoor,synthetic,,,Hand-Object Interaction Detection,2,0,,
HoME (Household Multimodal Envisonment),HoME: a Household Multimodal Environment,2017,arXiv,https://arxiv.org/pdf/1711.11017v1,https//home-platform.hub.io,multimodal environment for artificial agents to learn from vision; audio; semantics; physics; and interaction with objects and other agents; all within a realistic context,over 45;000 diverse hand-designed 3D house layouts based on the SUNCG dataset,indoor,synthetic,,,reinforcement learning; language grounding; sound-based navigation; robotics; multi-agent learning,22,0,,
HomebrewedDB,HomebrewedDB: RGB-D Dataset for 6D Pose Estimation of 3D Objects,2019,ICCV,https://arxiv.org/pdf/1904.03167v2,https//campar.in.tum.de/personal/ilic/homebreweddb/index.html,dataset for 6D pose estimation mainly targeting training from 3D models (both textured and textureless); scalability; occlusions; and changes in light conditions and object appearance,33 objects (17 toy; 8 household and 8 industry-relevant objects) over 13 scenes of various difficulty; + set of benchmarks to test various desired detector properties; particularly focusing on scalability with respect to the number of objects and resistance to changing light conditions; occlusions and clutter,indoor,,,,6D Pose Estimation,26,0,,
HOMER (Household Object Movements from Everyday Routines),Proactive Robot Assistance via Spatio-Temporal Object Modeling,2022,arXiv,https://arxiv.org/pdf/2211.15501v1,https//hub.com/Maithili/SpatioTemporalObjectTracking,They formulate proactive assistance as the problem of the robot anticipating temporal patterns of object movements associated with everyday user routines; and proactively assisting the user by placing objects to adapt the environment to their needs,routine behaviors for five households; spanning 50 days for the train split and 10 days for test split; The households are based on an identical apartment setting with four rooms and 108 objects and 33 atomic actions such as find; grab; etc.,indoor,,,,Object Tracking,3,0,,
House3D Environment,Building Generalizable Agents with a Realistic and Rich 3D Environment,2018,ICLR,https://arxiv.org/pdf/1801.02209v2,https//hub.com/facebookresearch/House3D,virtual 3D environment which consists of thousands of indoor scenes equipped with a diverse set of scene types,layouts and objects sourced sourced from the SUNCG dataset -> 45622 human-designed 3D scenes ranging from single-room studios to multi-floor houses; 8.9 rooms and 1.3 floors per scene on average; over 20 different room types (e.g. bedroom; living room; kitchen; bathroom etc.) with over 80 different object categories; 404508 different rooms and 5697217 object instances drawn from 2644 unique object meshes,indoor,synthetic,sourced from the SUNCG dataset -> scenes are manually created using Planner5D,84,Question Answering; Visual Navigation; Efficient Exploration,11,0,,c
HouseExpo,HouseExpo: A Large-scale 2D Indoor Layout Dataset for Learning-based Algorithms on Mobile Robots,2020,IROS,https://arxiv.org/pdf/1903.09845v1,https//hub.com/teaganli/houseexpo/,large-scale indoor layout dataset,35;357 2D floor plans including 252;550 rooms,indoor,,,,Motion Planning,10,0,,
Housekeep,Housekeep: Tidying Virtual Households using Commonsense Reasoning,2022,ECCV,https://arxiv.org/pdf/2205.10712v1,https//yashkant.hub.io/housekeep/,benchmark to evaluate common sense reasoning in the home for embodied AI,dataset contains where humans typically place objects in tidy and untidy houses constituting 1799 objects; 268 object categories; 585 placements; and 105 rooms,indoor,,,,Language Modelling; Common Sense Reasoning,9,0,,
Houses3K,Next-Best View Policy for 3D Reconstruction,2020,ECCV,https://arxiv.org/pdf/2008.12664v2,https//hub.com/darylperalta/Houses3K,dataset of 3D house models from the 2020 ECCV Workshop paper Next-Best View Policy for 3D Reconstruction,3000 textured 3D house models; divided into 12 batches; each containing 50 unique house geometries; For each batch; 5 different textures were applied forming the sets (A; B; C; D; E),indoor,,,,3D Reconstruction,4,0,,
Hypersim,Hypersim: A Photorealistic Synthetic Dataset for Holistic Indoor Scene Understanding,2021,ICCV,https://arxiv.org/pdf/2011.02523v5,https//hub.com/apple/ml-hypersim,photorealistic synthetic dataset for holistic indoor scene understanding,77;400 images of 461 indoor scenes with detailed per-pixel labels and corresponding ground truth geometry,indoor,synthetic,,,2D / 3D Object Detection; (3D) Semantic Segmentation; Instance Segmentation; Depth Estimation; (3D) Panoptic Segmentation; 3D Reconstruction; Monocular Depth Estimation; Multi-Task Leraning; Single-View 3D Reconstruction; 3D Pose Estimation; 3D Shape Reconstruction; Inverse Rendering; Intrinsic Image Decomposition; 2D Shape Recognition,72,1,,
IFCNet,IFCNet: A Benchmark Dataset for IFC Entity Classification,2021,EG-ICE,https://arxiv.org/pdf/2106.09712v1,https//ifcnet.e3d.rwth-aachen.de,A Benchmark Dataset for IFC (Industry Foundation Classes) Entity Classification,full IFCNet dataset: 19;613 confirmed objects distributed over 65 classes; most of which are highly imbalanced with respect to the number of objects they contain; IFCNetCore: subset of 7;930 objects,indoor,,,,IFC Entity Classification,2,1,,
iGibson 2.0,iGibson 2.0: Object-Centric Simulation for Robot Learning of Everyday Household Tasks,2021,arXiv,https://arxiv.org/pdf/2108.03272v4,https//svl.stanford.edu/igibson/,open-source simulation environment that supports the simulation of a more diverse set of household tasks through three key innovations: 1) iGibson 2.0 supports object states; including temperature; wetness level; cleanliness level; and toggled and sliced states; 2) iGibson 2.0 implements a set of predicate logic functions that map the simulator states to logic states like Cooked or Soaked; 3) iGibson 2.0 includes a virtual reality (VR) interface to immerse humans in its scenes to collect demonstrations,15 fully interactive high quality scenes; hundreds of large 3D scenes reconstructed from real homes and offices; and compatibility with datasets like CubiCasa5K and 3D-Front; providing 12000+ additional interactive scenes,indoor,,,,Robot Learning,10,0,,
IKEA Object State Dataset,IKEA Object State Dataset: A 6DoF object pose estimation dataset and benchmark for multi-state assembly objects,2021,arXiv,https://arxiv.org/pdf/2111.08614v1,https//hub.com/mxllmx/IKEAObjectStateDataset,dataset that contains IKEA furniture 3D models; RGBD video of the assembly process; the 6DoF pose of furniture parts and their bounding box.,IKEA 3D models corresponding to 5 IKEA products in final assembly state; where all parts a customer interact with during assembly is included,indoor,,,11,IKEA Furniture Assembly,2,0,,
ImageNet,ImageNet: A Large-Scale Hierarchical Image Database,2009,CVPR,https://ieeexplore.ieee.org/document/5206848,https//www.image-net.org,The ImageNet dataset contains 14;197;122 annotated images according to the WordNet hierarchy. Since 2010 the dataset is used in the ImageNet Large Scale Visual Recognition Challenge (ILSVRC); a benchmark in image classification and object detection. ,Total number of non-empty WordNet synsets: 21841; Total number of images: 14197122; Number of images with bounding box annotations: 1;034;908; Number of synsets with SIFT features: 1000; Number of images with SIFT features: 1.2 million,mixed,,,,Image Classification; Image Generation; Zero-Shot Learning; Visual Question Answering (VQA); Image Super-Resolution; Few-Shot Learning; Image Clustering; Neural Architecture Search; Weakly Supervised Object Detection; Image Inpainting;  Binarization; Prompt Engineering; Object Recognition; Quantization; Medical Image Classification; Object Localization; Image Deblurring; Composed Image Retrieval; Network Pruning; Data Augmentation; Image Compressed Sensing; Model Compression; Sparse Learning; Image Colorization; JPEG Decompression; Feature Upsampling...,14103,43,,
InLUT3D (Indoor Lodz University of Technology Point Cloud Dataset),InLUT3D: Challenging real indoor dataset for point cloud analysis,2024,arXiv,https://arxiv.org/pdf/2408.03338,https//zenodo.org/records/8131487,point cloud set tailored for real object classification and both semantic and instance segmentation tasks,321 scans; some areas in the dataset are covered by multiple scans; 18 distinct categories (ceiling; floor; wall; stairs; column; chair; sofa; table; storage; door; window; plant; dish; wallmounted; device; radiator; lighting; other),indoor,,,,3D Semantic Segmentation; 3D Instance Segmentation; 3D Classification,0,0,,
InteriorNet,InteriorNet: Mega-scale Multi-sensor Photo-realistic Indoor Scenes Dataset,2018,arXiv,https://arxiv.org/pdf/1809.00716v1,https//interiornet.org,synthetic RGB-D dataset for large scale interior scene understanding and mapping,20M photo-realistic images created by pipeline: A) the authors collected around 1 million CAD models provided by world-leading furniture manufacturers; B) around 1;100 professional designers created around 22 million interior layouts; C) For each layout; different configurations were generated (representing random lightings; simulating scene change over time in daily life); D) interactive simulator (ViSim) to create ground truth IMU; events; and monocular or stereo camera trajectories including hand-drawn; random walking and neural network based realistic trajectory; E) All supported image sequences and ground truth,indoor,synthetic,,,Object Detection; Semantic Segmentation; Simultaneous Localization and Mapping,29,0,,
